output_dir\images\1_gaussian.jpg output_dir\annotations\1_gaussian.xml
output_dir\images\81_gaussian.jpg output_dir\annotations\81_gaussian.xml
output_dir\images\82_gaussian.jpg output_dir\annotations\82_gaussian.xml
output_dir\images\83_gaussian.jpg output_dir\annotations\83_gaussian.xml
output_dir\images\84_gaussian.jpg output_dir\annotations\84_gaussian.xml
output_dir\images\85_gaussian.jpg output_dir\annotations\85_gaussian.xml
output_dir\images\86_gaussian.jpg output_dir\annotations\86_gaussian.xml
output_dir\images\87_gaussian.jpg output_dir\annotations\87_gaussian.xml
output_dir\images\88_gaussian.jpg output_dir\annotations\88_gaussian.xml
output_dir\images\89_gaussian.jpg output_dir\annotations\89_gaussian.xml
output_dir\images\90_gaussian.jpg output_dir\annotations\90_gaussian.xml
output_dir\images\91_gaussian.jpg output_dir\annotations\91_gaussian.xml
output_dir\images\92_gaussian.jpg output_dir\annotations\92_gaussian.xml
output_dir\images\93_gaussian.jpg output_dir\annotations\93_gaussian.xml
output_dir\images\94_gaussian.jpg output_dir\annotations\94_gaussian.xml
output_dir\images\95_gaussian.jpg output_dir\annotations\95_gaussian.xml
output_dir\images\96_gaussian.jpg output_dir\annotations\96_gaussian.xml
output_dir\images\97_gaussian.jpg output_dir\annotations\97_gaussian.xml
output_dir\images\98_gaussian.jpg output_dir\annotations\98_gaussian.xml
output_dir\images\99_gaussian.jpg output_dir\annotations\99_gaussian.xml
output_dir\images\100_gaussian.jpg output_dir\annotations\100_gaussian.xml
output_dir\images\101_gaussian.jpg output_dir\annotations\101_gaussian.xml
output_dir\images\102_gaussian.jpg output_dir\annotations\102_gaussian.xml
output_dir\images\103_gaussian.jpg output_dir\annotations\103_gaussian.xml
output_dir\images\104_gaussian.jpg output_dir\annotations\104_gaussian.xml
output_dir\images\105_gaussian.jpg output_dir\annotations\105_gaussian.xml
output_dir\images\106_gaussian.jpg output_dir\annotations\106_gaussian.xml
